YOLO,DE,FR,NL,CH,BE
priority:start,DE:306,FR:AB6,,CH:3.03,BE:B9
rest,DE:328,FR:C8,NL:L14,,BE:F98
roundabout,DE:215,,NL:D01,CH:2.41.1,BE:D5
speed,DE:275,FR:C4a,NL:A04,,
speed:end,DE:279,FR:C4b,NL:A05,,
speed_camera,,,NL:L215,,
pedestrian:underpass,,,,CH:4.12,BE:F51a
pedestrian:overpass,,,NL:L301,CH:4.13,BE:F51b
stop,DE:206,,NL:B07,CH:3.01,BE:B5
traffic_calming,,FR:C27,,,
tram:end,,,NL:F16,,
tram:start,,,NL:F15,,
trunk:end,DE:331.2,,NL:G04,CH:4.04,BE:F11
trunk:start,DE:331.1,,NL:G03,CH:4.03,BE:F9
tunnel:end,,FR:C112,,,
tunnel:start,DE:327,FR:C111,NL:L13,CH:4.07,BE:F8
zone:20,DE:274.1-20,,NL:A01-20-ZB,,
zone:30,DE:274.1,FR:B30,NL:A01-30-ZB,CH:2.59.1,BE:F4a
Zone:30:end,,FR:B51,,,BE:F4b
zone:calm,DE:325.1,FR:B52,,CH:2.59.5a,BE:F12a
zone:calm:end,DE:325.2,FR:B53,,CH:2.59.6a,BE:F12b
zone:end,DE:274.2,,,,
zone:low_emission,DE:270.1,FR:B56,,,BE:F117
zone:low_emission:end,DE:270.2,FR:B57,,,BE:F118
zone:no_parking,DE:290.1,FR:B6b1,NL:E01-ZB,CH:2.59.1e,
zone:no_parking:end,DE:290.2,FR:B50a,NL:E01-ZE,CH:2.59.2e,
zone:parking,DE:314.1,,,CH:2.59.1c,
zone:parking:end,DE:314.2,,,CH:2.59.2c,
zone:pedestrian,DE:242.1,FR:B54,,CH:2.59.3b,
zone:pedestrian:end,,FR:B55,,CH:2.59.4b,
zone:parking:disc,,FR:B6b3,,,
zone:parking:meter,,FR:B6b4,,,
zone:parking:alternate,,FR:B6b2,,,
